Product,Reviewer Name,Rating,Date,Review Text,Helpful Votes
SUMMARY,Search Term: candy,,2025-09-16 10:37:26,,
PRODUCT 1: SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTgxNzA0NzY1NzkzNzc4OjE3NTgwMzM0Mjk6c3BfYXRmOjIwMDA2MTU4MTIwMzU5ODo6MDo6&url=%2FOriginal-Watermelon-SWEDISH-Halloween-Variety%2Fdp%2FB087Z6RY25%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.bRChbokDp72bj4XHu_YZWGlGTwBIBX2kII2Rdua4cgqowMTA1toZoGWN2L6o5SWZP_X4VcJyW0WqzR818kdynzApVJha76Vw2JqEbL4-s-8dINF0GxjpVe3BVzSyWCT6zVz2PIRRRjt332F-FfprL2pmnr3hHBGNioaYx3AuU5TAp9LvA-Ccj-z_mGBzaPssddAkP5zMCy0HBRI-WKvD8MrR1IDMQ3Ysf3ZlO2qDl45sypEnk6kFeoEvWg4ktxzU_pY9qZD639uTa6EwwbwzMnSQIkHAyPQePVqFk1lhMHs.FrEu__eGMVWcKdEXZ6ubnfe6y8TS379dT2Qe5rlZ08g%26dib_tag%3Dse%26keywords%3Dcandy%26qid%3D1758033429%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Reviews: 8,Success: Yes,,
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,Sierra Buress,5.0,"Reviewed in the United States on September 10, 2025",These are great tasting as always and did not come stale as these sometimes do. They were a great value and are super convenient for my business.Read more,
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,Tracey L,5.0,"Reviewed in the United States on July 29, 2025",These are certainly the best treats around! I love all of these choices. They are perfectly packaged to give out is Halloween treats for the special kids in your neighborhood. They are always fresh and fun and everybody is super excited to get them! They are my favorites.Read more,
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,jc,5.0,"Reviewed in the United States on March 24, 2025","I buy these for stocking stuffers, Easter baskets, holidays, birthday gift bags, other celebrations, etc. Everyone in my family loves them, young kids through adults! They are always fresh, good quality & delivery is fast! I’ve bought them many times and will continue to buy! What more can you ask for?!Read more",
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,Tank,5.0,"Reviewed in the United States on July 4, 2025",Great candy.Read more,
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,Pussycat,5.0,"Reviewed in the United States on July 7, 2025",LikedRead more,
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,daisy,4.0,"Reviewed in the United States on February 16, 2025",Great for the price Fresh candy two box’s damagedRead more,
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,Kindle Customer,5.0,"Reviewed in the United States on May 18, 2025","I have 3 boys that hate to clean, but live sour patch and sweedish fish. There is less than you think in the boxes, but that's good for me because the boxes make the kids think they're getting a lot. Also perfect for group movie nightRead more",One person found this helpful
SOUR PATCH KIDS and SWEDISH FISH Soft & Chewy Cand...,Eric P.,5.0,"Reviewed in the United States on May 10, 2025",I’m obsessed with sour patch kids lol too much.. These taste great and are wicked addictive. LolRead more,
"PRODUCT 2: Halloween Core Winners Trick-or-Treat Variety Bag,...",https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTgxNzA0NzY1NzkzNzc4OjE3NTgwMzM0Mjk6c3BfYXRmOjMwMDg2NTM0NjIyMzYwMjo6MDo6&url=%2FNerds-Halloween-Clusters-Sweetarts-Original%2Fdp%2FB0DZJ848Z9%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.bRChbokDp72bj4XHu_YZWGlGTwBIBX2kII2Rdua4cgqowMTA1toZoGWN2L6o5SWZP_X4VcJyW0WqzR818kdynzApVJha76Vw2JqEbL4-s-8dINF0GxjpVe3BVzSyWCT6zVz2PIRRRjt332F-FfprL2pmnr3hHBGNioaYx3AuU5TAp9LvA-Ccj-z_mGBzaPssddAkP5zMCy0HBRI-WKvD8MrR1IDMQ3Ysf3ZlO2qDl45sypEnk6kFeoEvWg4ktxzU_pY9qZD639uTa6EwwbwzMnSQIkHAyPQePVqFk1lhMHs.FrEu__eGMVWcKdEXZ6ubnfe6y8TS379dT2Qe5rlZ08g%26dib_tag%3Dse%26keywords%3Dcandy%26qid%3D1758033429%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Reviews: 3,Success: Yes,,
"Halloween Core Winners Trick-or-Treat Variety Bag,...",Joseph Arce,1.0,"Reviewed in the United States on September 2, 2025",Only 1 nerd gummy clusters in the entire bag!Read more,
"Halloween Core Winners Trick-or-Treat Variety Bag,...",Daniel Reid,5.0,"Reviewed in the United States on August 29, 2025",The candy was good. Seemed fresh enough and the kids loved it.Read more,
"Halloween Core Winners Trick-or-Treat Variety Bag,...",Amazon Customer,1.0,"Reviewed in the United States on August 24, 2025",False advertisement. It only had 1 nerd gummy in the entire bag.Read more,
PRODUCT 3: SOUR PATCH KIDS and SWEDISH FISH Mini Soft & Chewy...,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNTgxNzA0NzY1NzkzNzc4OjE3NTgwMzM0Mjk6c3BfYXRmOjMwMDczODczNzkyNDkwMjo6MDo6&url=%2FPATCH-SWEDISH-Chewy-Candy-Variety%2Fdp%2FB0DTWYW715%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.bRChbokDp72bj4XHu_YZWGlGTwBIBX2kII2Rdua4cgqowMTA1toZoGWN2L6o5SWZP_X4VcJyW0WqzR818kdynzApVJha76Vw2JqEbL4-s-8dINF0GxjpVe3BVzSyWCT6zVz2PIRRRjt332F-FfprL2pmnr3hHBGNioaYx3AuU5TAp9LvA-Ccj-z_mGBzaPssddAkP5zMCy0HBRI-WKvD8MrR1IDMQ3Ysf3ZlO2qDl45sypEnk6kFeoEvWg4ktxzU_pY9qZD639uTa6EwwbwzMnSQIkHAyPQePVqFk1lhMHs.FrEu__eGMVWcKdEXZ6ubnfe6y8TS379dT2Qe5rlZ08g%26dib_tag%3Dse%26keywords%3Dcandy%26qid%3D1758033429%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Reviews: 8,Success: Yes,,
SOUR PATCH KIDS and SWEDISH FISH Mini Soft & Chewy...,Jacob,5.0,"Reviewed in the United States on May 6, 2025",Man I love me some sour patch kids and I'll be brutually honest and say I've never tried swedish fish until now. Boy it's an amazing combination and I can't believe I waited this long to try swedish fish. I love the sour taste sour patch kids give since it's not TOO sour but just right there on the edge of tolerable and not and then the sweet comes in and makes it all better.The swedish fish candy on the other hand has a tart taste but sweet and fruity. I just realized I should try them together writing this review and see what that tastes like. Anyways it's a decent sized package per pack and this box included 20 of them. All the candies I've tried in it with the kids have been fresh and nothing expired or anything. My kids had a blast when they saw the box get opened and all the candy in there. For the price I would say it's pretty decent for what you are getting. I assume you could get bulk bags or something but this makes it easy to send with your kid or something for a class treat or hand out for birthday part favors.Read more,2 people found this helpful
